id,title,route,group,priority,roles,functions,file
AUTH-01,Chào mừng,/,Xác thực,P0,Khách,ACC-01; ACC-02,screens/auth/auth-01-chao-mung.md
AUTH-02,Đăng nhập,/dang-nhap,Xác thực,P0,Khách,ACC-02; ACC-03,screens/auth/auth-02-dang-nhap.md
AUTH-03,Đăng ký,/dang-ky,Xác thực,P0,Khách,ACC-01; ACC-10,screens/auth/auth-03-dang-ky.md
AUTH-04,Quên mật khẩu,/quen-mat-khau,Xác thực,P1,Khách,ACC-08,screens/auth/auth-04-quen-mat-khau.md
AUTH-05,Đặt lại mật khẩu,/dat-lai-mat-khau,Xác thực,P1,Khách,ACC-09,screens/auth/auth-05-dat-lai-mat-khau.md
FEED-01,Bảng tin,/bang-tin,Bảng tin,P0,Người dùng,FED-02; SOC-03; SOC-08; CHT-08,screens/feed/feed-01-bang-tin.md
FEED-02,Tạo bài viết,/bai-viet/moi,Bảng tin,P0,Người dùng,SOC-03; MED-01; MED-03,screens/feed/feed-02-tao-bai-viet.md
FEED-03,Chi tiết bài viết,/bai-viet/:id,Bảng tin,P0,Người xem; Người dùng,SOC-06; SOC-07; SOC-08; SOC-10; MOD-01; AI-05,screens/feed/feed-03-chi-tiet-bai-viet.md
FEED-04,Sửa bài viết,/bai-viet/:id/sua,Bảng tin,P0,Chủ sở hữu,SOC-04,screens/feed/feed-04-sua-bai-viet.md
FEED-05,Bài viết video đang xử lý,/bai-viet/:id/xu-ly,Bảng tin,P1,Chủ sở hữu,SOC-09; MED-04,screens/feed/feed-05-bai-viet-video.md
PROF-01,Hồ sơ của tôi,/toi,Hồ sơ,P0,Người dùng,ACC-05; SOC-06,screens/profile/prof-01-ho-so-cua-toi.md
PROF-02,Hồ sơ người dùng,/nguoi-dung/:id,Hồ sơ,P0,Người xem,ACC-05; SOC-01; SOC-02; SOC-06,screens/profile/prof-02-ho-so-nguoi-khac.md
